jugador,elo_actual_total,elo_maximo_total,elo_actual_tierra,elo_actual_hierba,elo_actual_dura,elo_maximo_tierra,elo_maximo_hierba,elo_maximo_dura,activo,elo
abdul mumin babalola,1452.46,1500.0,1500.0,1500.0,1454.2,1500.0,1500.0,1500.0,0,1452.46
selvam veerasingam,1486.35,1539.22,1499.37,1501.2,1482.98,1500.0,1514.53,1535.15,0,1486.35
clement n'goran,1553.24,1553.24,1500.0,1500.0,1555.77,1500.0,1500.0,1555.77,0,1553.24
aleksandr nedovyesov,1435.02,1500.0,1444.86,1476.26,1451.48,1524.18,1500.0,1500.0,0,1435.02
tom kreiss,1547.92,1564.73,1500.0,1500.0,1547.4,1500.0,1500.0,1564.0,0,1547.92
martijn van haasteren,1482.75,1519.18,1457.57,1500.0,1532.43,1500.0,1500.0,1532.43,0,1482.75
phil dent,1675.15,1947.74,1689.9,1745.33,1562.76,1883.19,1866.62,1697.57,0,1675.15
philippe moggio,1464.03,1500.0,1461.79,1500.0,1500.0,1500.0,1500.0,1500.0,0,1464.03
thierry pham,1553.51,1559.72,1550.26,1500.0,1500.0,1555.68,1500.0,1500.0,0,1553.51
johan de preter,1495.12,1500.0,1500.0,1500.0,1489.22,1500.0,1500.0,1500.0,0,1484.53
amir hossein badi,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1484.0
russell barlow,1455.74,1515.52,1485.05,1484.0,1469.37,1500.0,1500.0,1510.1,0,1455.74
stefano cobolli,1502.87,1516.0,1503.01,1500.0,1500.0,1516.0,1500.0,1500.0,0,1502.87
